"MUNDISSEC","total_len","lcc_len","connectivity","year"
"08019310007",264.044744640934,264.044744640934,1,2017
"08019310008",141.178120834524,141.178120834524,1,2017
"08019310012",94.042610014501,94.042610014501,1,2017
"08019310013",88.9712029014775,88.9712029014775,1,2017
"08019310015",140.172528373238,140.172528373238,1,2017
"08019310021",121.713405635115,121.713405635115,1,2017
"08019310023",102.458662775959,102.458662775959,1,2017
"08019310024",37.0225420019824,37.0225420019824,1,2017
"08019310025",208.75551028517,208.75551028517,1,2017
"08019310026",611.660084114994,611.660084114994,1,2017
"08019310027",47.8778158377681,47.8778158377681,1,2017
"08019310028",403.305606343897,403.305606343897,1,2017
"08019310030",131.658325395388,131.658325395388,1,2017
"08019310031",357.347491812577,357.347491812577,1,2017
"08019310032",89.7806209564953,89.7806209564953,1,2017
"08019310033",136.790943553705,136.790943553705,1,2017
"08019310034",131.45400920798,131.45400920798,1,2017
"08019310036",28.2520887038346,0,0,2017
"08019310037",157.530460337824,0,0,2017
"08019310038",191.807835482232,191.807835482232,1,2017
"08019310039",409.473927639373,409.473927639373,1,2017
"08019310040",365.26052464094,365.26052464094,1,2017
"08019310041",268.815452111584,268.815452111584,1,2017
"08019310042",2432.77175594765,1974.85737474814,0.811772567615519,2017
"08019310043",1938.75969094402,1938.75969094402,1,2017
"08019310044",1096.67405060748,1096.67405060748,1,2017
"08019310045",2.31410315407838,2.31410315407838,1,2017
"08019310047",277.549811852237,277.549811852237,1,2017
"08019310048",484.93043118489,484.93043118489,1,2017
"08019310049",317.760369982076,317.760369982076,1,2017
"08019310050",657.839266712079,657.839266712079,1,2017
"08019310051",296.662652590742,296.662652590742,1,2017
"08019310052",993.775590447426,993.775590447426,1,2017
"08019310053",170.222455511482,170.222455511482,1,2017
"08019310054",1533.0770539381,1533.0770539381,1,2017
"08019310055",1203.70928965927,791.693607785468,0.657711637341911,2017
"08019310056",580.512246654691,580.512246654691,1,2017
"08019310057",899.729846344288,899.729846344288,1,2017
"08019310058",260.345521648167,260.345521648167,1,2017
"08019310059",848.842871373868,815.604082814378,0.960842236319082,2017
"08019310060",95.8638947362165,95.8638947362165,1,2017
"08019310061",116.637989950137,116.637989950137,1,2017
"08019310062",0.145018001938787,0.145018001938787,1,2017
"08019310063",208.624541753464,208.624541753464,1,2017
"08019310064",201.421876926836,201.421876926836,1,2017
"08019310066",127.264516839393,0,0,2017
"08019310067",536.915394116715,166.587930348363,0.310268493274288,2017
"08019310068",388.615199611127,217.152500520394,0.558785401954661,2017
"08019310069",567.888253236236,567.888253236236,1,2017
"08019310070",127.793532024209,127.793532024209,1,2017
"08019310071",126.361106555326,126.361106555326,1,2017
"08019310072",443.405615100085,443.405615100085,1,2017
"08019310073",22.0823974368801,22.0823974368801,1,2017
"08019310074",194.677818767929,194.677818767929,1,2017
"08019310075",324.977942406789,324.977942406789,1,2017
"08019310076",869.004082779142,869.004082779142,1,2017
"08019310077",382.017794665291,382.017794665291,1,2017
"08019310078",819.031304370463,298.89139750197,0.364932812588535,2017
"08019310079",134.214970386245,134.214970386245,1,2017
"08019310080",1496.84237219493,1149.58532274896,0.76800693520136,2017
"08019310081",621.53477344774,48.7660574557792,0.0784607065269527,2017
"08019310083",258.206390975628,0,0,2017
"08019310084",114.902980825454,0,0,2017
"08019310089",669.684541702698,286.483915017964,0.427789350325406,2017
"08019310090",255.433682101781,0,0,2017
"08019310091",272.011776424795,0,0,2017
"08019310092",825.023113113463,7.02704032527818,0.00851738601450766,2017
"08019310093",529.782145349977,529.782145349977,1,2017
"08019310094",898.962766198722,898.962766198722,1,2017
"08019310095",11.9707234267625,11.9707234267625,1,2017
"08019310096",1081.53870948623,1081.53870948623,1,2017
"08019310097",167.147306713803,167.147306713803,1,2017
"08019310098",103.298518013414,0,0,2017
"08019310100",409.84944862175,409.84944862175,1,2017
"08019310101",220.030217417929,220.030217417929,1,2017
"08019310102",144.369369010634,144.369369010634,1,2017
"08019310104",143.550594819964,143.550594819964,1,2017
"08019310105",45.6494724534121,45.6494724534121,1,2017
"08019310107",282.580288164327,282.580288164327,1,2017
"08019310109",13.0597134507475,13.0597134507475,1,2017
"08019310110",677.602662805748,677.602662805748,1,2017
"08019310111",202.550069998767,202.550069998767,1,2017
"08019310112",137.52264121945,137.52264121945,1,2017
"08019310113",345.439840214345,345.439840214345,1,2017
"08019310114",70.7818161545631,70.7818161545631,1,2017
"08019310115",138.072136131999,138.072136131999,1,2017
"08019310118",130.598717518974,130.598717518974,1,2017
"08019310119",128.042016271191,128.042016271191,1,2017
"08019310120",495.886507356299,495.886507356299,1,2017
"08019310121",250.7075829738,250.7075829738,1,2017
"08019310123",148.547384814988,148.547384814988,1,2017
"08019310125",128.593354962015,128.593354962015,1,2017
"08019310126",128.022925089299,128.022925089299,1,2017
"08019310127",134.714287976536,134.714287976536,1,2017
"08019310128",398.150887651405,398.150887651405,1,2017
"08019310129",272.816486964417,272.816486964417,1,2017
"08019310130",422.142838276851,422.142838276851,1,2017
"08019310131",400.198447833579,400.198447833579,1,2017
"08019310133",84.611679570608,84.611679570608,1,2017
"08019310135",537.332390738171,401.873119942711,0.747904140657946,2017
"08019310138",390.219159230489,390.219159230489,1,2017
"08019310139",66.5197516054564,66.5197516054564,1,2017
"08019310140",264.415827785228,264.415827785228,1,2017
"08019310143",196.105249713937,196.105249713937,1,2017
"08019310234",134.998565656791,0,0,2017
"08019310235",779.417504786127,779.417504786127,1,2017
"08019310236",491.991441408869,491.991441408869,1,2017
"08019310237",268.365478549309,118.893978666652,0.443030077152069,2017
"08194403001",158.966836148687,158.966836148687,1,2017
"08194406004",20.7721172955691,0,0,2017
"08194406007",40.0360281531262,0,0,2017
"08245704006",10.221170745904,0,0,2017
"08245704009",276.851792624608,0,0,2017
"08245704012",165.797131275046,0,0,2017
"08245704015",303.231503110302,0,0,2017
"08245705015",229.851057995676,0,0,2017
"08245705016",233.069432439489,0,0,2017
"08245705019",695.494403817528,0,0,2017
"08019301001",1671.81474846427,1671.81474846427,1,2018
"08019301002",117.780722201576,117.780722201576,1,2018
"08019301003",224.863544849684,224.863544849684,1,2018
"08019301004",307.923493400947,191.988072372199,0.623492771700312,2018
"08019301007",315.138154440994,0,0,2018
"08019301008",108.122633996274,0,0,2018
"08019301010",87.4913337462727,0,0,2018
"08019301013",63.4325753333629,0,0,2018
"08019301014",25.4819658351165,0,0,2018
"08019301018",78.6290051378323,0,0,2018
"08019301020",138.882771637514,0,0,2018
"08019301021",65.7632738944633,0,0,2018
"08019301026",44.9112507439802,44.9112507439802,1,2018
"08019301030",2072.14002725475,2072.14002725475,1,2018
"08019301031",20.8847529382635,20.8847529382635,1,2018
"08019301032",1115.84710543592,262.720028307336,0.235444468178014,2018
"08019301035",58.9220451650568,0,0,2018
"08019301036",610.196455221946,0,0,2018
"08019301043",2441.70504083657,2441.70504083657,1,2018
"08019301052",113.794214374826,113.794214374826,1,2018
"08019301055",1190.99664584916,1190.99664584916,1,2018
"08019302001",1076.63043323713,1076.63043323713,1,2018
"08019302003",309.25647774127,309.25647774127,1,2018
"08019302004",26.6172734984717,26.6172734984717,1,2018
"08019302006",267.464769569911,267.464769569911,1,2018
"08019302007",212.607693026755,212.607693026755,1,2018
"08019302008",279.572594406134,279.572594406134,1,2018
